full_text,username,created_at
tanggapannya dong abang nona banjir jakarta kok ngga ribut kaya tahun lalu ayodong rindu nih kebisingan suara abang nona semua,anam_mfthl,Thu Feb 29 23:21:36 +0000 2024
pak anies sdh tdk gub dki pengaruhnya orang2 luar jkt ga tau kl jkt banjir,dickyahmad72,Thu Feb 29 23:21:07 +0000 2024
dki kemarin jakarta banjir hingga bocah tenggelam kali sunter,antaranews,Thu Feb 29 23:21:04 +0000 2024
emang pantes sih kakkk kamu pusat pembangkit listrik tenaga keren jakarta banjir yg salah tetap anies kerrreeenn sekali kamu kakkkk,bangmaha_art,Thu Feb 29 23:20:15 +0000 2024
kok diem banjir,Putrawangi10,Thu Feb 29 23:20:10 +0000 2024
dah tau amik duit parti bersatu tu jangan la masukkan asb sendiri persoalan bodoh sangat pergi masukkan kt akaun sendiri bagi false hope kt rakyat pasal audit banjir sial la punya mp konon2 terpaling berprinsip ni,ahmadlokman,Thu Feb 29 23:20:04 +0000 2024
dulu bahas sumur resapan pd ngenye skrg banjir pd mingkem dasar kutu kupret next waktu urusan teknhis barisan dungu gosah ikutan rusuh lah gak mending nurut aja,Ilustrator23,Thu Feb 29 23:19:20 +0000 2024
banjir mana ituuu cipinang,kesurupaaan,Thu Feb 29 23:19:03 +0000 2024
oyy jkt banjir,dhuuar,Thu Feb 29 23:18:10 +0000 2024
jakarta banjir dipegang heru kalian diem2 aja sih konsistensi nya maba brosis,NFourId,Thu Feb 29 23:17:59 +0000 2024
jakarta banjir diem diem aje biasanya nyap nyap klo anies yg gubernur kritik kok pilah pilih,namchanis,Thu Feb 29 23:17:39 +0000 2024
aamiin semoga banjir orderan,auveyii,Thu Feb 29 23:17:35 +0000 2024
si paling korban iya deh anies paling sempurna ga banjir pas jadi gub jakarta,ParkJiONLY,Thu Feb 29 23:17:23 +0000 2024
dulu yg mengaku wanita emas suka maki pak anis soal banjir sekarang kok diam apa bibirnya kena sariwawan,BritaniaMa788,Thu Feb 29 23:16:25 +0000 2024
banjir abangkuh,euranoiaa,Thu Feb 29 23:11:53 +0000 2024
jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta banjir jakarta,berrymogu,Thu Feb 29 23:11:50 +0000 2024
banjir,fistkao,Thu Feb 29 23:11:41 +0000 2024
bangsat bangsat suka berkoar koar banjir,RusliyaU,Thu Feb 29 23:11:07 +0000 2024
sepi kyk kuburan sis jkt banjir nohh kok diem bae,UncuPaoel,Thu Feb 29 23:10:31 +0000 2024
beredar berita jakarta sekarang yg banjir kok diem emang klo bukan anies gubernurnya jakarta jadi adem yah ga yg ribut masalah banjir lg salut buat pak heru yg mengayomi warganya,RobocopMoslem,Thu Feb 29 23:10:26 +0000 2024
kok diem diembae jakarta banjir,rizqi166,Thu Feb 29 23:09:49 +0000 2024
skrg ga banjir,anaklama__,Thu Feb 29 23:09:38 +0000 2024
kapok banjir pendukungnya cerdasnya cuma nyinyiri pak anies,SasaSarmia71150,Thu Feb 29 23:09:12 +0000 2024
banjir,si4riNew,Thu Feb 29 23:09:08 +0000 2024
manusia ga kerja pertama menjabat kerjanya terbukti macet banjir sejak peninggalan yg parah sekarang semakin parah,vincentyonathan,Thu Feb 29 23:08:43 +0000 2024
lima tahun selalu update pernyataan penasaran apa pernyataan terbarunya ikn selesai ternyata ikn terdampak banjir bahkan musibah lainnya menunggu,Wuaaasu,Thu Feb 29 23:08:43 +0000 2024
dulu katanya waktu jaman pak anies jkt jarang banjir mending urus pak anies aja nunggu periode 2029 buat jadi ri 1,TId404,Thu Feb 29 23:08:35 +0000 2024
masalah banjir selesai kok malah calonkan presiden,panca_agus5894,Thu Feb 29 23:08:28 +0000 2024
iyakah mau bikin video reporter banjir,scarawrs,Thu Feb 29 23:08:12 +0000 2024
mana warga psi biasa e pd jadi kodok kalo jkt banjir,sigitgawang,Thu Feb 29 23:07:59 +0000 2024
padahal jaman pj gubernur justru lebih parah banjir disana kan bangke emang kerja senyap kades bajingan wakakak,FelixSGL1,Thu Feb 29 23:06:55 +0000 2024
ga tau nya psi cemen ga mau nanggapi banjir jakarta beda pak anies menjabat gubernur dki lantang mengkritik smp berjilid jilid,AgungT123C,Thu Feb 29 23:06:41 +0000 2024
penyebab banjir perilaku masyarakatnya,mohfajars6,Thu Feb 29 23:06:13 +0000 2024
ru heru jangan modol aja ru urus banjir tuh,EdiSofyan1111,Thu Feb 29 23:06:08 +0000 2024
pasca bencana alam banjir melanda beberapa wilayah bandar lampung jajaran tnipolri bersama masyarakat bahumembahu membersihkan sisa material banjir saluran drainase jalan hingga tempat ibadah polri memberikan kebutuhan pangan menyiapkan tenaga medis obatan,HumasJatiasih,Thu Feb 29 23:06:05 +0000 2024
banjir gempa kebakaran angin semuanya salah anies bencinya allah diam kawan,ridwanhakim502,Thu Feb 29 23:05:58 +0000 2024
memang betul wktu aye kerje daerah ancol 2022 jakarte tdk ade banjir tu horas lae,DediJunaediJun2,Thu Feb 29 23:04:42 +0000 2024
tuh makan tu banjir kemarin bilang anies tukang parkir air mana kok koar koar kelelep,Amril123343232,Thu Feb 29 23:04:24 +0000 2024
polri melalui seksi dokkes jajaran polda lampung memberikan pelayanan kesehatan masyarakat terdampak banjir melanda beberapa wilayah bandar lampung pelayanan kesehatan pemberian vitamin dilakukan door to door menjangkau masyarakat,HumasJatiasih,Thu Feb 29 23:03:55 +0000 2024
presiden kalau lebaran jakarta macet musim kemarau jakarta banjir,QO3003,Thu Feb 29 23:03:33 +0000 2024
jakarta banjir,iulienss,Thu Feb 29 23:03:22 +0000 2024
polri melalui jajaran polres tana toraja melakukan evakuasi cepat korban terdampak banjir wilayah kecamatan makale kabupaten tana toraja sulawesi selatan,HumasJatiasih,Thu Feb 29 23:03:09 +0000 2024
kelapa gading awalnya berupa rawa area resapan air dijadikan hunian wilayahnya selalu banjir,aris_karre,Thu Feb 29 23:02:49 +0000 2024
dulu sama pak anies ga banjir separah air cepat surut,MomochiMochiee,Thu Feb 29 23:01:12 +0000 2024
come on mana presiden ngurusin banjir yg diurusin negara yg bertanggung jawab kepala daerah masing2 mah janji manis semata,nhienu,Thu Feb 29 23:01:07 +0000 2024
jakarta banjir kok kalian enggak tantrum,williamqoudry,Thu Feb 29 23:00:38 +0000 2024
mana anjing2 babi2 partey yg dulu brisiik trs ttg banjir zaman pak anies ude pade kojor yak,kagakpajangpoto,Thu Feb 29 22:59:31 +0000 2024
banjir kali salahnya hujan terlalu lebat terusmenerus jangan salahkan gubernur,adiramdhanm,Thu Feb 29 22:59:19 +0000 2024
kak jangan nangis asrama banjir,ehanniy,Thu Feb 29 22:59:16 +0000 2024
hasil saudi pro league tadi malam ronaldo absen al nassr draw la via banjir gol al wehda 33 al taawon al nassr 44 al hazeem,AriefBudianto77,Thu Feb 29 22:58:39 +0000 2024
lapor pak jakarta banjir gimna tuch,aa_inunk,Thu Feb 29 22:57:57 +0000 2024
bacod jakarta banjir woyyyyyy jgn ngedugem aja loooo taeeeeee,RomyLestari,Thu Feb 29 22:57:56 +0000 2024
hello partai sok intelek mana suaramu jkt banjir klakuan klian slama brisik ga tauny orderan smua,abualkahfi6,Thu Feb 29 22:57:52 +0000 2024
jakarta banjir goblook mana orang yg suka nyinyir keluar tololl jangan waktu ab aja yg nyinyir,IMachjar,Thu Feb 29 22:57:25 +0000 2024
jkt banjir tu biasanya pling nyinyir nomerouno skrg kog kicep congornya,Syaif44587464,Thu Feb 29 22:55:24 +0000 2024
woiii jakarta banjir kok gak brisik,Detw13,Thu Feb 29 22:55:17 +0000 2024
bukan gak urgen buat apa bahas jpo banjir yg sedang terjadi gak lu bahas menyusahkan orang kemarin yg telat kantor macet malah bahas jpo yg bukan urgent hari dulu waktu anis banjir dikit sj rame sekarang adem sj padahal banjir mana,adichamplen,Thu Feb 29 22:55:06 +0000 2024
anies hengkang banjir datang pembully tenggelam,d_alienz,Thu Feb 29 22:54:58 +0000 2024
pagipagi dah banjir hmm,Gitaaamala,Thu Feb 29 22:54:53 +0000 2024
banjir tuuuuuh diem looo,salik37,Thu Feb 29 22:54:40 +0000 2024
capek bangett dapet meme jamet pagipagii pagii yukk semangat semoga banjir orderan,qiutime,Thu Feb 29 22:54:01 +0000 2024
pd tenggelam terbawa banjir,EMusiran,Thu Feb 29 22:53:56 +0000 2024
emang anak abah keren2 pinter bgt cari cara bwt ngebalikin fakta dl ajabanjir selalu jd alat bwt menyerang abah skrg banjir dah kek apakok diem2 baeee pagiimorning,AiraNtieReal,Thu Feb 29 22:53:37 +0000 2024
musim banjir brosis mana suaramuhallo,bonex_212,Thu Feb 29 22:53:28 +0000 2024
mana nih yg suka nyinyir jakarta banjir masa salahin anies,Ipung_black,Thu Feb 29 22:42:22 +0000 2024
woooiiiii tanyain jakarta banjir kok g da bacotan nya woi ngambang,chesdslng,Thu Feb 29 22:42:11 +0000 2024
enak jadi heru jakarta dimana2 banjir adem2 aja yg biasa mulutnya ngelebihin kaleng rombeng rombongan kaleng rombeng memang udah sesat jauh waras,rindoekenangan,Thu Feb 29 22:41:06 +0000 2024
heru pusing dahh lu heru banjir mana,imqueennnnnn,Thu Feb 29 22:40:49 +0000 2024
kalo liat daerah klp gading banjir kadang merasa bersyukur karna pindah situ jadi aktivitas ga keganggu,AgrahaLaksmana,Thu Feb 29 22:40:13 +0000 2024
jakarta banjir mau kantor susah gmn heyyy wakil rakyat,nobitania12,Thu Feb 29 22:38:19 +0000 2024
bila bersuara terkait banjir jakarta hari mungkin kedepan elektabilitas nasional naik minimal 3 lah bila tetap mingkem yaa mungkin turun 0 5 ayo buktikan kelen partai bukan kumpulan brosis abal,Ilustrator23,Thu Feb 29 22:37:49 +0000 2024
alah jgn naif yg sekarang jakarta rasakan banjir jd bahas jpo jpo gak menyusahkan orang gak bikin repot orang gak bikin orang telat masuk kerja banjir noh bikin orang susah semua gak bahas malah bahas jpo kurang kerjaan banget yg jkt hadapi sekarang banjir,adichamplen,Thu Feb 29 22:37:49 +0000 2024
kalo banjir dibikin surpee,_makanbengbeng,Thu Feb 29 22:37:47 +0000 2024
ujan ujan ujan banjir,konstelasimu,Thu Feb 29 22:37:41 +0000 2024
bersangkutan hanyut terbawa banjir,ihsanmohamad,Thu Feb 29 22:37:37 +0000 2024
pokoknya sekarang gak banjir,erlRioatmojo,Thu Feb 29 22:37:00 +0000 2024
ngomong wakil sekjen demokrat anies terbaik tangani banjir jakarta jaman heru budi makin parah,RizkiAsihan,Thu Feb 29 22:36:28 +0000 2024
ngak lihat si grase berenang tempat banjir,RTageh,Thu Feb 29 22:36:25 +0000 2024
buzerp terbelah jadi suara kerasnya banjir bukan prioritas ga rp nya,ZeinElfahroo,Thu Feb 29 22:35:07 +0000 2024
pertanyaannya jakarta banjir sejak kapan kapan tdk pernah banjir,holderdiamond_,Thu Feb 29 22:34:27 +0000 2024
hok jakarta banjir,Muh_N_UD,Thu Feb 29 22:34:25 +0000 2024
mana nih partas sekitaran ibukota psi biasanya rame kalo banjir sekarang kok kyk sepi,sulthanium,Thu Feb 29 22:34:23 +0000 2024
pas jaman anies banjir setumit psi koar koar paling berisik sekarang banjir sepaha psi,aldinxm,Thu Feb 29 22:33:58 +0000 2024
bnyk video beredar kenaikan harga beras bagus untk petani sbb sdh hampr sesuai dg biaya operasional skrng banjir beras impor dipasar otomats menekan harga beras brrt kabar ga bagus untk petani dong,Amutoh4r,Thu Feb 29 22:33:48 +0000 2024
gimana gimana jadi qc berlaku utk pilpres yaa pileg pake perhitungan manual koq spt bau bau kentutnya gitu ehh jakarta banjir cok,KimanTongkodu,Thu Feb 29 22:33:34 +0000 2024
dlu kelapa gading cempaka cempaka putih dulu zaman anies sempat bebas banjir emang heru k,sulthanium,Thu Feb 29 22:33:14 +0000 2024
macam akhirnya mau disudutin kekmana rumputnya jis kelihatan banyak orang sambatan soal ga tim tanggap waktu banjir dirasakan orang orang jadi wislah sebuah reminder baiknya memang bekerja yg benar dulu ndak usah kepancing sama,frdnchn,Thu Feb 29 22:32:44 +0000 2024
nih temen kntr gasuka sm abah krn wkt beliau njabat rumahnya kebanjiran pertanyaannya kpn rumah ga kbanjiran pas musim banjir kaga pnh kok ga benci yg laen that s an interesting question hm,hangeoleum_,Thu Feb 29 22:32:16 +0000 2024
kan 10 tahun lalu yg bilang banjir macet kagak klo jadi presiden mkmkkmkmk,Tineke98060653,Thu Feb 29 22:31:34 +0000 2024
busett buzzer nya anies tiktok nih gilaan banget yaa jakarta banjir malah nyalahin anies jelas jelas beliau udah ga menjabat,f_e_b_y_,Thu Feb 29 22:31:26 +0000 2024
lihat mulai nyenggol pendukung 01 kamu deh liat balasan lari tan gak nyebutin nama anies hahaha jadi kepanasan kmu tuh protes pj banjir parah,Cakrakyubi87,Thu Feb 29 22:31:11 +0000 2024
ayo bersuara dong jakarta banjir tau jangan sia2kan suara warga jakarta yg milih psi karna gede pas kritik banjir,Sholeh_Sartiono,Thu Feb 29 22:30:56 +0000 2024
si anies menjabat banjir ngak kayak ginipasti bukan orang jakarta lu mkmkmkmkm,Tineke98060653,Thu Feb 29 22:30:43 +0000 2024
kok jakarta banjir dmn2 ga sampe trending topic biasanta trending hmmmm,Skyaeri4,Thu Feb 29 22:29:56 +0000 2024
kemarin ngumpat heru gara2 kangen banjir loh kok skrg dikasih banjir kaya jaman anies ngamuk2 heran,BataviaRegion,Thu Feb 29 22:29:40 +0000 2024
jalan rusak pasca hujan deras banjir aspal jalan jadi terkelupas entah proses birokrasi perbaikan jalan berbelit kalaupun cepat pemenang tender mengerjakan asal2an problem pemda manapun,OLIGARKICK,Thu Feb 29 22:29:40 +0000 2024
banjir nunmul,WiChan16x1,Thu Feb 29 22:22:03 +0000 2024
wasekjen demokrat akui anies terbaik tangani banjir jakarta zaman heru makin parah,posaktualcom,Thu Feb 29 22:21:35 +0000 2024
banjir azab kecil buat sekutu sakit hati,kusna18639647,Thu Feb 29 22:20:54 +0000 2024
lah banjir sebabnya apa dulu bos unsur alam kesengajaanjgn cm bs nyalahin org dl,wong_ilang01,Thu Feb 29 22:20:50 +0000 2024
jpo bagus gini kok diributin noh banjir banjir bjirrrr mo ngalihin isu loh buzzer,tommyAjahh,Thu Feb 29 22:20:37 +0000 2024
busuk gini padahal kyknya tahun kemarin ga banjir gini dah,Tryfingg,Thu Feb 29 22:20:23 +0000 2024
woyyyy jakarta banjir tuh kok gak cuap cuap pjgubernur dki heru budi hartono dokem aje,SuprayogiLucky,Thu Feb 29 22:19:59 +0000 2024
maaf pakpak anis menyebut bukan banjir air yg parkir,oktawij55019169,Thu Feb 29 22:19:32 +0000 2024
welcome bulan maret semoga bulan lebih dilancarkan rezekinya selalu banjir win bigwin aamiin,cheonluvy,Thu Feb 29 22:19:30 +0000 2024
patroli dialogis perumahan villa pamulang aiptu sugiyarto antisipasi 3c rumsong tawuran banjir koordinasi security bpk unang pesan kamtibmas disampaikan sit umum aman terkendali,pamulang_polsek,Thu Feb 29 22:19:28 +0000 2024
polri melalui seksi dokkes jajaran polda lampung memberikan pelayanan kesehatan masyarakat terdampak banjir melanda beberapa wilayah bandar lampung,humassekklm,Thu Feb 29 22:18:02 +0000 2024
mau gym waswas akses moi banjir gak,toughofu,Thu Feb 29 22:17:19 +0000 2024
masalahnya jakarta memang selalu banjir hujan angin punya ktp paham bos,MitraTani54958,Thu Feb 29 22:17:13 +0000 2024
typonya hebat banget semoga hujan tp ga banjir owo9,rururong,Thu Feb 29 22:15:42 +0000 2024
halo halo jakarta banjir nih,lurihateem,Thu Feb 29 22:14:18 +0000 2024
keluar dikit aja udh nangis kl kluar bnyakkkk banjir kali tuh bioskop,seledrin,Thu Feb 29 22:13:17 +0000 2024
mudah2an rumah nya lgsg tenggelam ditelan banjir biar mampus dialihat aja,kezi25,Thu Feb 29 22:12:43 +0000 2024
mau cari mana coba got kayaknya habitat got tp klo banjir gini got gak kelihatan,No_name122224,Thu Feb 29 22:12:13 +0000 2024
siapa bilang jangan jangan buta mata tuli telinga banjir tetap terjadi anies jadi gubernur bedanya jadi lihat kenyataan jadi jangan jadi pemuja buta tuli,sarkubkelana,Thu Feb 29 22:11:45 +0000 2024
here budi emang kemaren sepanjang jalan berdoa terus jalanan yg lewatin ga banjir berangkat msh gelap takut ga liat tau2 masuk genangan yg tinggi msh trauma sabtu bbrp minggu yg lalu kerja yg bener ngapa jangan tidur aje,paradisaayu,Thu Feb 29 22:11:30 +0000 2024
tidur pules masa bodo dg banjirngapain mikir banjir,nurulhudha5722,Thu Feb 29 22:09:58 +0000 2024
jakarta banjir nah iya,anndaryyyyy,Thu Feb 29 22:09:13 +0000 2024
bersinergi kemanusiaan berperan negeri personel polri bersama tim sar gabungan mengevakuasi jenazah korban terseret arus banjir wilayah kecamatan panjang kota bandar lampung,humassekklm,Thu Feb 29 22:08:30 +0000 2024
jakarta banjir kritik si heru lekas,Quenmedus4,Thu Feb 29 22:04:37 +0000 2024
prakiraan cuaca jumat 1 maret 2024 awas banjir hujan guyur jabodetabek,Beritasatu,Thu Feb 29 22:04:35 +0000 2024
jakarta banjir tuh,se7enh8chi,Thu Feb 29 22:02:52 +0000 2024
gow partai ibukota meneng bae iki piye tho biasane muncunge brot brotan lho iki wis banjir ora ono suarane,Edwin_A_J,Thu Feb 29 22:02:10 +0000 2024
banjir sekarang belajar kalo cuma jadiin banjir alat buat nyerang anies fakta,mieayammayaeim,Thu Feb 29 22:01:54 +0000 2024
banjir,rydyoga,Thu Feb 29 22:01:12 +0000 2024
gimana nih banjir 8 jam,Hafsh221,Thu Feb 29 22:00:32 +0000 2024
alhamdulillah melimpah ruah banjir,uumaannn,Thu Feb 29 21:59:58 +0000 2024
mungkin anies presidenbetul betul mengatasi banjir dijakarta dg tuntas,buahfresh17,Thu Feb 29 21:59:34 +0000 2024
jaman ahok banjir parah jangan2 situ terlalu fokus mu coba lihat jejak digital banjir era ahok,x0ox346051,Thu Feb 29 21:57:25 +0000 2024
kinerjanya merusak yg sdh dibangun anies salah satu kesuksesan pj heru banjir melanda jakarta,karana0132275,Thu Feb 29 21:55:21 +0000 2024
heru budi bermain main menikmati banjir ban ban mobil,Purwanto2Puji,Thu Feb 29 21:54:41 +0000 2024
loe aja yg ribet pertanyaannya jelas jakarta gk pernah lepas dr banjir tanya dijelaskan perbedaan banjir pak anies dn pak heru loe gk terima emang gk otak,trikartikatika1,Thu Feb 29 21:53:15 +0000 2024
banjir kok 5 taunan kocak,rammskuy,Thu Feb 29 21:50:38 +0000 2024
nich temen2 kritikan kalian sangat ampuh mencegah minimal sangat mengurangi banjir jakarta ditunggu suaranya,iim_umiamanah,Thu Feb 29 21:49:26 +0000 2024
buat ngalihin banjir jakarta skg ributin jpo buatan anies hadeuh buzer,siujangedi,Thu Feb 29 21:48:32 +0000 2024
jakarta banjir mana mana kalo pak jokowi ngga merasa terganggu kebangetan sih mesti dipikirin pj gubernurnya diterusin begini loh jadinya jakarta jaman ahok anies mendingan padahal,heyinternetgeek,Thu Feb 29 21:47:08 +0000 2024
woiii jakarta banjir tuh kok bunyi,Detw13,Thu Feb 29 21:45:22 +0000 2024
bner tuh olympus bneran banjir scatter sering cuan,Kira75393040423,Thu Feb 29 21:44:42 +0000 2024
bner tuh olympus bneran banjir scatter sering cuan,Kira75393040423,Thu Feb 29 21:44:37 +0000 2024
heruheru udah banjir kok cek pompa air sedia pompa payung hujan coy,afmar_muly91838,Thu Feb 29 21:43:49 +0000 2024
lah justru legislatif ngga perlu turun ngurusin banjir walaupun seneng aja anggota dewan yg bener2 peduli sama dapilnya,ninisniso,Thu Feb 29 21:43:14 +0000 2024
rejeki dapet link bagus banjir scatter,Beata5413476967,Thu Feb 29 21:43:00 +0000 2024
bukan banjir air tergenang,humamaqif,Thu Feb 29 21:42:56 +0000 2024
mbak grace duta banjir jakarta kok diem aja,daisyze_,Thu Feb 29 21:25:14 +0000 2024
woi banjir ga sibuk koar koar kh,absurdb0yz,Thu Feb 29 21:24:17 +0000 2024
memang kesengajaan pengkondisian banjir terjadi memastikan jakarta ibu kota memang layak kemudian dijadikan alasan lebih baik pindah ikn pembentukan persepsi pemerkosaan fakta,IqbalsahidAbdu1,Thu Feb 29 21:23:43 +0000 2024
banjir jakarta kok diem malah sibuk kritik jpo buatan pak anies gaada yg mau kritik kinerja heru ga kerja,absurdb0yz,Thu Feb 29 21:23:41 +0000 2024
tjuamik kerja gading dr akhir 2015 baru ga dapet banjir gading tuh mulai feb 2020 feb 2024nya banjir termiris kemaren org gading ngebroadcast ig pemilu kalau jd ga apalotis lg liat banjir gading tertangani tgl 14 febnya banjir,raturara,Thu Feb 29 21:22:45 +0000 2024
arahin anggota nya buat kritik gubernur jkt banjir nih,ichkz,Thu Feb 29 21:22:26 +0000 2024
hidup era tina toon nyanyi bolo sampe ngurus banjir,AndreasTeddyY,Thu Feb 29 21:20:54 +0000 2024
coba ganti basah banjir terjadi hujan jalanan banjir jalanan banjir terjadi hujan ha,Fiki_Su,Thu Feb 29 21:20:34 +0000 2024
cheryl uki grace kalian tuh jakarta banjir,IkaSetiyanings9,Thu Feb 29 21:19:20 +0000 2024
tumben jakarta banjir partai sawit indonedia gk berisik,alviahbunakusyg,Thu Feb 29 21:18:02 +0000 2024
berarti bener kemarin2 berisik pas banjir bukan peduli sama yg kena banjir yaa gmn gubernurnya anies bahkan diberita tiap banjir selalu psi paling kenceng cuma genangan yg ga sejem surut psi x buzzerp sekompak berisiknya why,9elaskaca,Thu Feb 29 21:15:53 +0000 2024
emang pas anies jd gubernur jakarta ga banjir kocak,umi_sulistyani,Thu Feb 29 21:14:20 +0000 2024
netizen jakarta banjir kok diam2 bae gubernurnya bukan anies,Sitikho24969036,Thu Feb 29 21:13:27 +0000 2024
dulu zaman abah memimpin ga banjir adanya parkir air,suradi7630,Thu Feb 29 21:11:40 +0000 2024
jakarta banjir nih cepat bersuara,Quenmedus4,Thu Feb 29 21:10:20 +0000 2024
waktu anies yg jadi gubernur kalau banjir banyak anjing buzzerp yg menggonggong sekarang anjing nya,saiyo_tmk,Thu Feb 29 21:08:58 +0000 2024
emang jakarta banjir hari jakgsrta banjir tuh pas gubdrnurnya anis baswedan,HPirang89,Thu Feb 29 21:08:10 +0000 2024
ayo bacotannya mana jakarta banjir tuh awokwokwok,Om_Awang,Thu Feb 29 21:07:16 +0000 2024
anjing kurap mana gonggongan mu disaat jakarta banjir,dekna201,Thu Feb 29 21:06:01 +0000 2024
bagus tindakannya tinggal cari solusinya aja nih gimana biar gak banjir good job,meonkcool,Thu Feb 29 21:05:51 +0000 2024
banjir dki kamu g ribut,nurdiman_a14631,Thu Feb 29 21:05:31 +0000 2024
banjir jakarta kapanpun gak hilang selalu terus cuma kan kalau banjir diminimalisir bisa dibuat diatur sekiranya pas banjir banjirnya cepat surut,_Bakemono,Thu Feb 29 21:05:13 +0000 2024
berarti penanganan banjir dki berhasil menciptakan sistem bergantung orang kegagalan perspektif organisasi,portal_komplex,Thu Feb 29 21:04:25 +0000 2024
bantuan kemanusian tahap kedua warga demak terdampak banjir begini langkah nu peduli,tvOneNews,Thu Feb 29 21:01:15 +0000 2024
yg kadang heran lae tak komentar soal banjir biasanya cepat kali komentar miringnya,WempieSD,Thu Feb 29 20:59:22 +0000 2024
psi selama goblog ga mau nuntut nagih janji omongan presiden ttg banjir malah nyerang anies terus yg g janji skr heru mingkem kicep semua tuh uki dkk,nurdiman_a14631,Thu Feb 29 20:59:15 +0000 2024
jakarta banjir min kok ga menggonggong biasa nya paling lantang kalau jakarta banjir apa gubernur bukan pak anis,doni01020001,Thu Feb 29 20:58:14 +0000 2024
tumben gak brisik banjir jakarta kok quick count beda sama real count qc kalo gak salah mentok 255 rc perhatiin rajin naeknya sampe udah 298 hmmm,rh_dewa,Thu Feb 29 20:57:25 +0000 2024
sjw jakarta ngeributin jpo estetik dgn nada2 jahil tutup mata sama beberapa titik banjir yg mulai menggenangi jalan jalan makanya tuh sebenernya ga diajak cuma bikin pusing doang toxic,katasiapalo,Thu Feb 29 20:57:21 +0000 2024
jokowi cangkeme sering bgt molak malik sesuka hati g dipercaya pendukung harusnya nuntut ucapannyasetelah jadi presiden banjir ditangani,nurdiman_a14631,Thu Feb 29 20:56:28 +0000 2024
banjir banjir banjir biasanya paling berisik partai anak muda tuuuh,sjsjhira,Thu Feb 29 20:54:55 +0000 2024
nutupin berita banjir jakartayg biasanya berisik jadi penikmat banjir gini,cakra2022,Thu Feb 29 20:51:53 +0000 2024
jakarta banjir noh cuap cuap doong diem diem baeeee,sjsjhira,Thu Feb 29 20:51:10 +0000 2024
perhatikan banyak gugatan yg bernada anies ga jadi gubernur jakarta banjir kok kayaknya malah yg keliru penanganan banjir jadi bergantung orang bukan sistem artinya kegagalan bikin sistem kalau selalu bergantung orang,portal_komplex,Thu Feb 29 20:50:08 +0000 2024
jakarta banjir,GladokT68549,Thu Feb 29 20:49:46 +0000 2024
jkt banjir bangun woi kok ga berisik oia lg mikirin biar masuk senayan smgt yhhhhhhhh,revanianara,Thu Feb 29 20:49:33 +0000 2024
banjir tu jkt mana loooo oia kan gubernurnya heru budi bukan anies,revanianara,Thu Feb 29 20:48:49 +0000 2024
banjir banjir,4c_3c,Thu Feb 29 20:47:51 +0000 2024
bamjir banjir mana suaranya,4c_3c,Thu Feb 29 20:47:25 +0000 2024
hujan kmrn bukan deras bgt iya lama pernah ngalamin lebih deras lebih lama atap teras rumah bocor thn lalu ga banjir aja kaget klp gading banjir gtu,Vayash7,Thu Feb 29 20:47:01 +0000 2024
jakarta banjir tuh kok ga komen iya tugas nya cuman jadi buzzer istana yah,kotoo19,Thu Feb 29 20:45:32 +0000 2024
bim lu ndak ngomong soal banjir well utk apa ngomong wong anggaran penanggulangan banjirnya dipotong tar pusing kl tahu siapa yg motong anggaran ndak pingin diserbu berjilid2 sama anggota cult,Seph_Bimo,Thu Feb 29 20:42:20 +0000 2024
dulu tukang kayu solo bilang begini kalau jadi presiden makin mudah menanggulangi banjir jakarta lupa nama nya siapa ingat kata nya,kotoo19,Thu Feb 29 20:38:52 +0000 2024
banjir biasa memang feb waduh anis menjabat feb banjir,Sanja64425Dicky,Thu Feb 29 20:37:45 +0000 2024
banjir bukan nya air ngantri,Alminsulim,Thu Feb 29 20:32:02 +0000 2024
sibuk jpo biar lupa banjir,bh4tz,Thu Feb 29 20:29:20 +0000 2024
nek udan full banjir sak dalan dalan,kristalaa_vante,Thu Feb 29 20:29:05 +0000 2024
whooooyyy mana suaramu jakarta banjir niiiiiihh biasanya kalau jakarta banjir paling gesit paling duluan mencela kinerja pak anies,WempieSD,Thu Feb 29 20:22:30 +0000 2024
heru tidur katanya belom bangun jadi ga tau kalo banjir,byoribitbam,Thu Feb 29 20:20:32 +0000 2024
hati2 banjir sekarang mmg disengaja dibiarkan hening suara satwa liar makin kuat alasan rezim jkw utk memindahkan ibukota hutan ikn,BerryBachtiar,Thu Feb 29 20:14:41 +0000 2024
jakarta banjir tuh tumben lu ga cerewet,spider9761,Thu Feb 29 20:11:45 +0000 2024
jgnkan banjir gub nya aja apa apa tidur mending ky gini,mailo_cfcf,Thu Feb 29 20:06:24 +0000 2024
anjirr dulu daerah rumah dalemnya sampe yg bikin perahu kayuuu asal luu tauu wwkkw tiap pagi bokap kalo ga menerjang banjir gendong buat sekolah nyewa perahuuu sampe tempat yg engga kena banjir tp seru dulu banjirnya masi bening,younivxrsee,Thu Feb 29 20:05:15 +0000 2024
era pak anies luar biasa rame nya gonggongan anjing buduk kalo jakarta banjir skr adem ayem waktu kerabat tuan nya yg pegang jabatan,edfir,Thu Feb 29 20:02:19 +0000 2024
